Tag name,Description,Tier,Cluster,Variable name
blended learning,"Students learn both online and in-person, in which both learning environments are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",General Approach,,blended_learning
competency/mastery-based education,"The school's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",General Approach,,competency_education
designing for equity,"The school designs for and with historically marginalized students, with the goal of improving experiences, supports, and outcomes for these students, who may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.",General Approach,,design_equity
expanded measures of success,"The school defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)",General Approach,,expanded_success
culture of anti-racist action,The school is building a culture of taking direct action to counter and dismantle policies and practices that create or perpetuate inequality between racial groups.,General Approach,,anti_racist_action
project-based learning,"Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning, inquiry-based learning, or learning-by-doing.",General Approach,,pbl
social-emotional learning,"The school has a comprehensive strategy to support students' social and emotional development (e.g. self-management, social awareness, relationship skills, etc), which manifests across curriculum, school culture, classroom management, discipline, and behavior expectations.",General Approach,,sel
dialogue circles,"Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication. They provide a safe, supportive space where all school community members can talk about sensitive topics, work through differences, and build consensus. ",Specific Practice,Cluster A,circles
family and community support services,"The school offers (or partners to offer) social and wraparound support services to families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",Specific Practice,Cluster A,community_supports
practice of culturally relevant pedagogy,Pedagogy and curriculum are continually adapted to be relevant to the cultural environment and background of students attending the school.,Specific Practice,Cluster A,culturally_relevant
culture of restorative practice,Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),Specific Practice,Cluster A,restorative_practice
SEL integrated across academics,The school integrates social and emotional learning throughout the academic curriculum (in contrast to a stand-alone SEL curriculum).,Specific Practice,Cluster A,sel_integrated
stand-alone SEL curriculum,The school has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,Specific Practice,Cluster A,sel_curriculum
assessments for social-emotional skills and school climate,"The school uses strategies to assesses school climate, social-emotional, and noncognitive skills e.g. self-management, social awareness, relationship skills, belonging, etc.",Specific Practice,Cluster A,assessments_sel
mental health services,The school offers (or partners to offer) comprehensive counseling and mental health services for students.,Specific Practice,Cluster A,mental_health
physical well being services,"The school offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",Specific Practice,Cluster A,physical_well_being
trauma-informed instruction,"Adults in the school community are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",Specific Practice,Cluster A,trauma_informed
reallocation of resources for those most in need,Example: assigning most experienced and highest skilled teachers to students needing the most help.,Specific Practice,Cluster A,reallocation_resources
hiring prioritizes equity-focused values,"Hiring practices are designed to result in new hires with equity-focused values. The school may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",Specific Practice,Cluster A,hiring_equity
expanded open hours,The school is open outside of normal hours and during vacations to support learning and offer services.,Specific Practice,Cluster A,open_hours
student-led conferences,Students plan and lead a meeting including parents and teachers to discuss the student's learning and growth. (As opposed to parent-teacher conferences without students present.),Specific Practice,Cluster A,student_conferences
social justice focus,"The school uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",Specific Practice,Cluster A,social_justice
dual language programming,A form of bilingual education in which students are taught literacy and content in two languages.,Specific Practice,Cluster A,dual_language
families as co-leaders,"The school involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",Specific Practice,Cluster A,families_leaders
projects as primary method of learning,"Projects are a central approach to learning core content and skills, rather than added on as extra activities once core content is covered.",Specific Practice,Cluster B,projects_primary
interdisciplinary,"Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",Specific Practice,Cluster B,interdisciplinary
design thinking process,"Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",Specific Practice,Cluster B,design_thinking
service learning,"Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",Specific Practice,Cluster B,service_learning
portfolios and public exhibitions of student work,"Students collect and share evidence of their work over time to demonstrate their learning and growth, and independently present their projects, reflect on their learning, and share progress towards their goals for an audience.",Specific Practice,Cluster B,portfolios_exhibitions
real-world problem solving,"Student projects involve action steps to solve or meaningfully improve real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).",Specific Practice,Cluster B,real_world
students develop projects,"Students are partners and leaders in designing, implementing, and assessing projects.",Specific Practice,Cluster B,student_projects
makerspace,Students can access a space and/or set of tools for use in building and designing creations.,Specific Practice,Cluster B,makerspace
place-based learning,"The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",Specific Practice,Cluster B,place_based
peer to peer support,"The school creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, accountability partners, etc.",Specific Practice,Cluster B,peer_to_peer
assessments for deeper learning,"The school assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",Specific Practice,Cluster B,assessments_deeper
multiple ways to demonstrate mastery,"Students can demonstrate mastery in multiple ways (e.g. portfolio, oral presentation, test, group project, etc).",Specific Practice,Cluster B,ways_mastery
flexible staffing & alternative teaching roles,"The school makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",Specific Practice,Cluster B,flexible_staffing
flexible facilities & classroom design,"Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",Specific Practice,Cluster B,flexible_facilities
real time data use to drive instruction,The school has created systems and routines to continuously monitor progress and tailor learning activities.,Specific Practice,Cluster C,real_time_data
station rotation,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station.",Specific Practice,Cluster C,station_rotation
individual rotation,Students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,Specific Practice,Cluster C,individual_rotation
lab rotation,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.",Specific Practice,Cluster C,lab_rotation
flipped classroom,"Students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",Specific Practice,Cluster C,flipped_classroom
flex model,"Students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.",Specific Practice,Cluster C,flex
interoperable data from multiple technologies,"Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",Specific Practice,Cluster C,interoperability
adaptive content,Content is adapted to individual learners (may be accomplished using adaptive learning software).,Specific Practice,Cluster C,adaptive_content
students access their own data,Students (and families) can access their own learning and assessment data in real time.,Specific Practice,Cluster C,student_data
grading policies focus on mastery,"Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",Specific Practice,Cluster D,grading_mastery
flexible assessment schedule,"The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.",Specific Practice,Cluster D,assessment_schedule
competency framework,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,Specific Practice,Cluster D,competency_framework
advancement on mastery,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",Specific Practice,Cluster D,advancement_mastery
multiple opportunities to demonstrate mastery,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Specific Practice,Cluster D,opportunities_mastery
performance based assessment,"In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test. ",Specific Practice,Cluster D,performance_assessment
students progress at own pace,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Specific Practice,Cluster D,student_pace
student-led goal setting,"Students set and pursue their own learning goals, as well as self-assess their progress.",Specific Practice,Cluster D,student_goals
universal design for learning,"The school designs learning experiences to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",Specific Practice,Cluster D,udl
accommodations available to all students,Accommodations traditionally reserved for students with an IEP are available to all students.,Specific Practice,Cluster D,accommodations
individual learner profiles,"Profiles extend across multiple years of school and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn. ",Specific Practice,Cluster D,learner_profiles
teachers as co-leaders,"The school involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as school success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",Specific Practice,Cluster D,teachers_leaders
career training and preparation,"The school offers career-oriented learning opportunities, e.g. career tech and vocational training, interview practice, internships and apprenticeships, etc.",Specific Practice,Cluster E,career_prep
community and business partnerships,"The school has developed partnerships with businesses and the community, which may help facilitate experiential learning, internships, mentorships, etc.",Specific Practice,Cluster E,community_partnerships
extended learning opportunities,"Students can access credit-bearing learning experiences outside of the school (e.g. internship, service learning, training, etc).",Specific Practice,Cluster E,extended_learning
enriched virtual model,"Students complete the majority of coursework online at home or outside of school, but attend school for required face-to-face learning sessions with a teacher. ",Specific Practice,Cluster E,enriched_virtual
à la carte model,Students take an online course with an online teacher in addition to other face-to-face courses.,Specific Practice,Cluster E,a_la_carte
individual learning paths,Students identify and follow unique learning pathways that are relevant to their interests and passions.,Specific Practice,Cluster E,learning_paths
assessments for career readiness,The school assesses students' readiness to enter the workforce and pursue a career path.,Specific Practice,Cluster E,assessments_career
students meet industry professionals,"The school brokers connections between students and industry professionals, including methods such as job shadows, video chats, etc.",Specific Practice,Cluster E,meet_professionals
students earn industry credentials,"Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",Specific Practice,Cluster E,industry_credentials
dual credit,The school offers students the option to take college credit-bearing courses before entering college.,Specific Practice,Cluster E,dual_credit
early college high school,"The school is a hybrid of high school and college, where all students take both high school and colleges classes simultaneously, earning credit towards a college degree.",Specific Practice,Cluster E,early_college
elimination of tracked classes,"Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",Specific Practice,Cluster E,elimination_tracking
student advisories,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",Specific Practice,Cluster E,advisories
1:1 mentoring,The school connects students with adults in and outside of the school for 1:1 mentoring and regular check-in meetings.,Specific Practice,Cluster E,mentoring
multi-age classrooms,"Classrooms include students of many ages, rather than grouping them by age or grade band.",Specific Practice,Cluster E,multi_age
tutoring,"The school provides tutoring services to students. This may involve a partnership with an outside organization, or utilization of human resources beyond teachers, such as non-instructional staff, parents, or students.",Specific Practice,Cluster E,tutoring
fully remote,"Some students learn fully remotely, such as at home (no core instruction required at school).",Specific Practice,COVID-19,fully_remote
fully in-person,Some students learn fully at school (no core instruction required remotely or at home).,Specific Practice,COVID-19,fully_in_person
hybrid,Some students learn partially at home and partially at school (core instruction occurs in both settings).,Specific Practice,COVID-19,hybrid
rotating or staggered schedules,The school uses a rotating schedule to reduce the total number of students on campus during in-person learning.,Specific Practice,COVID-19,rotating_schedule
half days,Some students attend school in the morning and others in the afternoon. ,Specific Practice,COVID-19,half_days
alternating days,"Some students attend school one day, and others the next. ",Specific Practice,COVID-19,alternating_days
alternating weeks,"Some students attend school one week, and others the next.",Specific Practice,COVID-19,alternating_weeks
families can choose instructional modality,"Families can opt into their instructional modality of choice (e.g. fully remote, fully in-person, or hybrid)",Specific Practice,COVID-19,families_choose_modality
teachers can choose instructional modality,"Teachers can opt into their instructional modality of choice (e.g. fully remote, fully in-person, or hybrid)",Specific Practice,COVID-19,teachers_choose_modality
synchronous online learning,"Online learning activities occur synchronously, where consistent groups of students participate at the same designated time.",Specific Practice,COVID-19,synchronous_online
asynchronous online learning,"Online learning activities occur asynchronously, where consistent groups of students participate on their own time when they choose.",Specific Practice,COVID-19,asynchronous_online
virtual enrichment activities,"Beyond core academics, the school engages students in enrichment activities while learning remotely.",Specific Practice,COVID-19,virtual_enrichment
remote accommodations,The school offers special education services to students learning remotely.,Specific Practice,COVID-19,remote_accommodations
at-home learning supports,The school offers guidance and training for families about how to support students learning remotely.,Specific Practice,COVID-19,family_learning
digital materials,"For remote learning, curricular materials are hosted and distributed digitally.",Specific Practice,COVID-19,digital_materials
print materials,"For remote learning, curricular materials are printed and distributed physically.",Specific Practice,COVID-19,print_materials